Common Name,Frequency (%)
Swamp Sparrow,1.33%
Baird's Sparrow,1.33%
Marsh Wren,1.32%
White-winged Crossbill,1.32%
Blackpoll Warbler,1.31%
Mountain Bluebird,1.31%
Chestnut-collared Longspur,1.28%
Canada Jay,1.27%
Sharp-shinned Hawk,1.26%
Northern Waterthrush,1.23%
Hermit Thrush,1.22%
Cooper's Hawk,1.17%
Common Tern,1.15%
Lark Sparrow,1.14%
Bonaparte's Gull,1.11%
Veery,1.08%
Pileated Woodpecker,1.06%
Semipalmated Sandpiper,1.05%
Ferruginous Hawk,1.02%
Lapland Longspur,1.01%
Boreal Chickadee,0.9707%
Brown Creeper,0.9433%
Magnolia Warbler,0.9066%
Least Sandpiper,0.9047%
Rough-legged Hawk,0.8594%
Wood Duck,0.8540%
Lark Bunting,0.8506%
Evening Grosbeak,0.8426%
Stilt Sandpiper,0.8407%
Pectoral Sandpiper,0.8258%
Red-necked Phalarope,0.7979%
Baird's Sandpiper,0.7861%
Golden-crowned Kinglet,0.7770%
Ross's Goose,0.7724%
Wilson's Warbler,0.7651%
Grasshopper Sparrow,0.7430%
Osprey,0.7285%
Solitary Sandpiper,0.7255%
Sedge Wren,0.7136%
Sanderling,0.7117%
Fox Sparrow,0.6995%
Long-billed Dowitcher,0.6946%
Black-crowned Night Heron,0.6938%
Western Wood-Pewee,0.6854%
Rusty Blackbird,0.6786%
LeConte's Sparrow,0.6755%
Black-bellied Plover,0.6561%
Northern Shrike,0.6377%
Red Crossbill,0.5973%
Northern Rough-winged Swallow,0.5889%
Long-billed Curlew,0.5702%
Nelson's Sparrow,0.5683%
American Pipit,0.5656%
American Bittern,0.5576%
Broad-winged Hawk,0.5576%
Say's Phoebe,0.5317%
Greater Scaup,0.5252%
Blue-headed Vireo,0.5245%
Chestnut-sided Warbler,0.4997%
Mourning Warbler,0.4859%
Semipalmated Plover,0.4829%
Gray-cheeked Thrush,0.4798%
Nashville Warbler,0.4772%
Golden Eagle,0.4485%
Black-necked Stilt,0.4447%
Red-breasted Merganser,0.3955%
Burrowing Owl,0.3883%
Prairie Falcon,0.3787%
Winter Wren,0.3772%
Philadelphia Vireo,0.3769%
Blackburnian Warbler,0.3749%
Peregrine Falcon,0.3658%
Canada Warbler,0.3578%
Short-billed Dowitcher,0.3460%
Townsend's Solitaire,0.3395%
Piping Plover,0.3376%
Whooping Crane,0.3185%
Cape May Warbler,0.2914%
Bay-breasted Warbler,0.2903%
Great Crested Flycatcher,0.2876%
Rock Wren,0.2861%
Olive-sided Flycatcher,0.2803%
Short-eared Owl,0.2765%
White-rumped Sandpiper,0.2636%
Red-naped Sapsucker,0.2624%
White-faced Ibis,0.2613%
Thick-billed Longspur,0.2430%
American Golden-Plover,0.2411%
Orchard Oriole,0.2369%
Hudsonian Godwit,0.2281%
American Three-toed Woodpecker,0.2258%
American Goshawk,0.2220%
Black-backed Woodpecker,0.2109%
White-winged Scoter,0.1972%
Long-eared Owl,0.1957%
Northern Saw-whet Owl,0.1892%
Yellow-breasted Chat,0.1884%
Black-throated Green Warbler,0.1857%
Caspian Tern,0.1842%
Trumpeter Swan,0.1774%
Western Tanager,0.1747%
Yellow-bellied Flycatcher,0.1663%
Ruddy Turnstone,0.1640%
Cinnamon Teal,0.1579%
Virginia Rail,0.1564%
Dusky Flycatcher,0.1503%
Eastern Bluebird,0.1503%
Brewer's Sparrow,0.1480%
Great Egret,0.1453%
Spruce Grouse,0.1419%
Connecticut Warbler,0.1419%
Varied Thrush,0.1408%
Willow Flycatcher,0.1369%
Red Knot,0.1289%
Surf Scoter,0.1278%
Black-billed Cuckoo,0.1262%
Great Gray Owl,0.1247%
Glaucous Gull,0.0984%
Violet-green Swallow,0.0927%
Lesser Black-backed Gull,0.0908%
Northern Hawk Owl,0.0900%
Yellow-throated Vireo,0.0892%
MacGillivray's Warbler,0.0862%
Eastern Towhee,0.0847%
Iceland Gull,0.0835%
Eastern Wood-Pewee,0.0778%
Barred Owl,0.0744%
Clark's Grebe,0.0698%
Lazuli Bunting,0.0683%
Dunlin,0.0656%
Wild Turkey,0.0622%
